DateTime,ZN,ZB
2021-12-28 11:30:00,130.671875,160.90625
2021-12-28 12:00:00,130.640625,160.71875
2021-12-28 12:30:00,130.609375,160.625
2021-12-28 13:00:00,130.625,160.6875
2021-12-28 17:00:00,130.65625,160.71875
2021-12-28 17:30:00,130.6875,160.8125
2021-12-28 21:30:00,130.703125,160.78125
2021-12-28 23:00:00,130.703125,160.84375
2021-12-28 23:30:00,130.71875,160.78125
2021-12-29 01:00:00,130.6875,160.75
2021-12-29 03:00:00,130.625,160.5
2021-12-29 03:30:00,130.59375,160.4375
2021-12-29 04:00:00,130.5625,160.34375
2021-12-29 05:00:00,130.578125,160.3125
2021-12-29 06:30:00,130.53125,160.25
2021-12-29 07:00:00,130.4375,159.625
2021-12-29 07:30:00,130.40625,159.71875
2021-12-29 08:00:00,130.34375,159.5
2021-12-29 08:30:00,130.40625,159.625
2021-12-29 09:00:00,130.359375,159.53125
2021-12-29 09:30:00,130.28125,159.34375
2021-12-29 10:00:00,130.21875,159.25
2021-12-29 10:30:00,130.25,159.34375
2021-12-29 11:00:00,130.359375,159.40625
2021-12-29 11:30:00,130.25,159.28125
2021-12-29 12:00:00,130.15625,159.09375
2021-12-29 12:30:00,130.21875,159.34375
2021-12-29 13:30:00,130.234375,159.34375
2021-12-29 14:00:00,130.171875,159.21875
2021-12-29 17:00:00,130.203125,159.28125
2021-12-29 17:30:00,130.21875,159.21875
2021-12-29 18:00:00,130.203125,159.25
2021-12-29 20:30:00,130.25,159.21875
2021-12-29 21:00:00,130.265625,159.28125
2021-12-29 21:30:00,130.234375,159.21875
2021-12-30 01:30:00,130.328125,159.34375
2021-12-30 02:00:00,130.34375,159.375
2021-12-30 02:30:00,130.421875,159.46875
2021-12-30 03:30:00,130.4375,159.59375
2021-12-30 04:00:00,130.390625,159.5
2021-12-30 04:30:00,130.375,159.46875
2021-12-30 05:00:00,130.34375,159.40625
2021-12-30 06:00:00,130.328125,159.40625
2021-12-30 06:30:00,130.34375,159.53125
2021-12-30 07:00:00,130.234375,159.3125
2021-12-30 07:30:00,130.375,159.71875
2021-12-30 08:00:00,130.34375,159.625
2021-12-30 09:00:00,130.265625,159.40625
2021-12-30 09:30:00,130.28125,159.46875
2021-12-30 10:00:00,130.328125,159.53125
2021-12-30 11:00:00,130.390625,159.75
2021-12-30 12:00:00,130.359375,159.71875
2021-12-30 12:30:00,130.375,159.8125
2021-12-30 13:30:00,130.421875,159.90625
2021-12-30 14:30:00,130.453125,160.0
2021-12-30 15:00:00,130.484375,160.09375
2021-12-30 15:30:00,130.4375,159.9375
2021-12-30 17:30:00,130.4375,159.90625
2021-12-30 19:00:00,130.40625,159.90625
2021-12-30 21:00:00,130.390625,159.84375
2021-12-30 22:30:00,130.375,159.78125
2021-12-31 00:00:00,130.390625,159.78125
2021-12-31 02:00:00,130.453125,159.90625
2021-12-31 02:30:00,130.4375,159.875
2021-12-31 03:00:00,130.46875,159.90625
2021-12-31 03:30:00,130.453125,159.9375
2021-12-31 04:00:00,130.40625,159.875
2021-12-31 04:30:00,130.453125,159.96875
2021-12-31 05:30:00,130.46875,160.0625
2021-12-31 06:00:00,130.5,160.1875
2021-12-31 06:30:00,130.453125,160.0625
2021-12-31 07:00:00,130.515625,160.21875
2021-12-31 07:30:00,130.484375,160.1875
2021-12-31 08:30:00,130.40625,159.84375
2021-12-31 09:30:00,130.515625,160.3125
2021-12-31 10:30:00,130.515625,160.125
2021-12-31 11:00:00,130.53125,160.375
2021-12-31 11:30:00,130.484375,160.4375
2021-12-31 12:00:00,130.4375,160.1875
2021-12-31 12:30:00,130.40625,160.15625
2021-12-31 13:00:00,130.375,160.09375
2021-12-31 13:30:00,130.328125,160.03125
2021-12-31 15:30:00,130.34375,159.96875
2022-01-02 17:00:00,130.265625,159.9375
2022-01-02 17:30:00,130.34375,160.0625
2022-01-02 18:00:00,130.296875,160.0
2022-01-02 18:30:00,130.34375,160.125
2022-01-02 19:00:00,130.328125,160.09375
2022-01-02 20:30:00,130.296875,160.03125
2022-01-02 21:30:00,130.28125,159.96875
2022-01-02 22:30:00,130.265625,159.96875
2022-01-03 01:30:00,130.21875,159.90625
2022-01-03 02:00:00,130.109375,159.6875
2022-01-03 02:30:00,130.140625,159.78125
2022-01-03 04:00:00,130.1875,159.8125
2022-01-03 05:00:00,130.140625,159.75
2022-01-03 05:30:00,130.171875,159.78125
2022-01-03 06:00:00,130.1875,159.84375
2022-01-03 06:30:00,130.171875,159.8125
2022-01-03 07:00:00,129.96875,159.25
2022-01-03 07:30:00,129.765625,158.84375
2022-01-03 08:00:00,129.734375,158.6875
2022-01-03 08:30:00,129.609375,158.59375
2022-01-03 09:30:00,129.640625,158.53125
2022-01-03 10:00:00,129.578125,158.21875
2022-01-03 10:30:00,129.53125,158.09375
2022-01-03 11:00:00,129.546875,158.125
2022-01-03 11:30:00,129.5,157.96875
2022-01-03 12:00:00,129.453125,157.8125
2022-01-03 13:00:00,129.453125,157.875
2022-01-03 13:30:00,129.40625,157.90625
2022-01-03 14:00:00,129.421875,157.84375
2022-01-03 14:30:00,129.40625,157.5
2022-01-03 15:00:00,129.4375,157.6875
2022-01-03 15:30:00,129.46875,157.78125
2022-01-03 17:00:00,129.53125,157.9375
2022-01-03 17:30:00,129.578125,158.0
2022-01-03 18:30:00,129.546875,157.9375
2022-01-03 19:00:00,129.484375,157.8125
2022-01-03 19:30:00,129.46875,157.84375
2022-01-03 20:00:00,129.5,157.9375
2022-01-03 20:30:00,129.515625,157.875
2022-01-03 21:00:00,129.453125,157.71875
2022-01-03 22:30:00,129.46875,157.8125
2022-01-04 00:00:00,129.453125,157.75
2022-01-04 01:00:00,129.5,157.84375
2022-01-04 01:30:00,129.546875,157.90625
2022-01-04 02:00:00,129.53125,157.875
2022-01-04 02:30:00,129.4375,157.625
2022-01-04 03:00:00,129.46875,157.6875
2022-01-04 03:30:00,129.484375,157.84375
2022-01-04 04:00:00,129.453125,157.78125
2022-01-04 04:30:00,129.46875,157.75
2022-01-04 05:30:00,129.375,157.65625
2022-01-04 06:00:00,129.21875,157.34375
2022-01-04 06:30:00,129.203125,157.21875
2022-01-04 07:00:00,129.15625,156.90625
2022-01-04 07:30:00,129.296875,157.25
2022-01-04 08:00:00,129.203125,156.90625
2022-01-04 08:30:00,129.234375,157.03125
2022-01-04 09:30:00,129.265625,156.65625
2022-01-04 10:00:00,129.25,156.5625
2022-01-04 10:30:00,129.1875,156.59375
2022-01-04 11:00:00,129.203125,156.53125
2022-01-04 12:00:00,129.234375,156.6875
2022-01-04 12:30:00,129.265625,156.78125
2022-01-04 14:00:00,129.3125,156.9375
2022-01-04 14:30:00,129.390625,157.03125
2022-01-04 17:00:00,129.34375,156.96875
2022-01-04 18:30:00,129.296875,156.96875
2022-01-04 19:00:00,129.3125,157.0
2022-01-04 19:30:00,129.390625,157.1875
2022-01-04 20:30:00,129.390625,157.15625
2022-01-04 21:30:00,129.359375,157.125
2022-01-04 23:30:00,129.40625,157.25
2022-01-05 00:00:00,129.421875,157.28125
2022-01-05 01:00:00,129.375,157.15625
2022-01-05 01:30:00,129.34375,157.0625
2022-01-05 03:00:00,129.375,157.21875
2022-01-05 06:00:00,129.328125,157.0
2022-01-05 07:00:00,129.25,156.8125
2022-01-05 07:30:00,129.3125,157.15625
2022-01-05 08:00:00,129.34375,157.21875
2022-01-05 08:30:00,129.328125,157.125
2022-01-05 09:00:00,129.3125,157.21875
2022-01-05 09:30:00,129.21875,157.0
2022-01-05 10:00:00,129.09375,156.78125
2022-01-05 10:30:00,129.140625,156.6875
2022-01-05 11:00:00,129.078125,156.53125
2022-01-05 11:30:00,129.09375,156.625
2022-01-05 12:00:00,129.125,156.65625
2022-01-05 12:30:00,129.046875,156.5
2022-01-05 13:30:00,128.84375,156.40625
2022-01-05 14:00:00,128.90625,156.34375
2022-01-05 15:00:00,128.953125,156.375
2022-01-05 15:30:00,128.875,156.1875
2022-01-05 17:00:00,128.921875,156.34375
2022-01-05 17:30:00,128.90625,156.3125
2022-01-05 18:00:00,128.859375,156.28125
2022-01-05 19:00:00,128.9375,156.46875
2022-01-05 19:30:00,128.984375,156.5625
2022-01-05 20:00:00,128.96875,156.5
2022-01-05 20:30:00,128.84375,156.25
2022-01-05 21:00:00,128.8125,156.15625
2022-01-05 21:30:00,128.75,156.09375
2022-01-05 22:00:00,128.796875,156.15625
2022-01-05 22:30:00,128.65625,155.9375
2022-01-05 23:00:00,128.625,155.84375
2022-01-05 23:30:00,128.640625,155.9375
2022-01-06 00:00:00,128.59375,155.875
2022-01-06 00:30:00,128.578125,155.90625
2022-01-06 01:30:00,128.5625,155.84375
2022-01-06 02:00:00,128.59375,155.8125
2022-01-06 04:00:00,128.59375,155.71875
2022-01-06 04:30:00,128.546875,155.5625
2022-01-06 05:00:00,128.578125,155.625
2022-01-06 06:00:00,128.515625,155.625
2022-01-06 06:30:00,128.546875,155.6875
2022-01-06 07:00:00,128.609375,155.8125
2022-01-06 07:30:00,128.671875,156.0
2022-01-06 09:00:00,128.625,155.9375
2022-01-06 09:30:00,128.5625,155.8125
2022-01-06 10:00:00,128.59375,155.90625
2022-01-06 10:30:00,128.515625,155.71875
2022-01-06 11:00:00,128.546875,155.875
2022-01-06 11:30:00,128.578125,156.0
2022-01-06 12:00:00,128.59375,156.0625
2022-01-06 12:30:00,128.5625,156.0
2022-01-06 13:00:00,128.59375,156.125
2022-01-06 13:30:00,128.546875,155.96875
2022-01-06 15:30:00,128.625,156.15625
2022-01-06 17:30:00,128.640625,156.15625
2022-01-06 18:00:00,128.65625,156.125
2022-01-06 19:00:00,128.6875,156.28125
2022-01-06 19:30:00,128.703125,156.25
2022-01-06 21:30:00,128.671875,156.1875
2022-01-06 22:30:00,128.640625,156.09375
2022-01-06 23:30:00,128.609375,156.03125
2022-01-07 00:00:00,128.640625,156.0625
2022-01-07 00:30:00,128.609375,155.96875
2022-01-07 01:30:00,128.625,156.09375
2022-01-07 02:00:00,128.578125,156.03125
2022-01-07 02:30:00,128.59375,156.0
2022-01-07 03:00:00,128.5625,155.96875
2022-01-07 04:00:00,128.609375,156.0625
2022-01-07 06:30:00,128.5625,155.9375
2022-01-07 07:00:00,128.46875,155.75
2022-01-07 07:30:00,128.28125,155.40625
2022-01-07 08:00:00,128.453125,155.78125
2022-01-07 08:30:00,128.34375,155.4375
2022-01-07 09:00:00,128.359375,155.375
2022-01-07 09:30:00,128.171875,154.96875
2022-01-07 10:00:00,128.109375,154.75
2022-01-07 10:30:00,128.1875,154.9375
2022-01-07 11:00:00,128.171875,154.90625
2022-01-07 11:30:00,128.234375,155.15625
2022-01-07 12:00:00,128.296875,155.28125
2022-01-07 13:00:00,128.34375,155.125
2022-01-07 14:00:00,128.34375,155.15625
2022-01-07 14:30:00,128.3125,155.125
2022-01-07 15:00:00,128.28125,155.15625
2022-01-07 15:30:00,128.375,155.25
2022-01-09 17:00:00,128.234375,155.03125
2022-01-09 18:00:00,128.1875,155.0
2022-01-09 18:30:00,128.265625,155.09375
2022-01-09 19:00:00,128.203125,154.96875
2022-01-09 19:30:00,128.171875,154.9375
2022-01-09 20:00:00,128.140625,154.875
2022-01-09 20:30:00,128.09375,154.75
2022-01-09 21:00:00,128.0625,154.78125
2022-01-09 22:00:00,128.046875,154.75
2022-01-10 00:30:00,128.03125,154.75
2022-01-10 02:00:00,127.984375,154.65625
2022-01-10 04:00:00,128.21875,155.0625
2022-01-10 04:30:00,128.234375,155.09375
2022-01-10 05:00:00,128.28125,155.125
2022-01-10 05:30:00,128.25,155.15625
2022-01-10 06:00:00,128.296875,155.21875
2022-01-10 07:00:00,128.203125,155.15625
2022-01-10 07:30:00,128.09375,154.875
2022-01-10 08:00:00,128.03125,154.8125
2022-01-10 08:30:00,127.953125,154.71875
2022-01-10 09:00:00,128.0625,154.90625
2022-01-10 10:00:00,128.078125,155.0
2022-01-10 10:30:00,128.140625,155.03125
2022-01-10 11:00:00,128.171875,155.1875
2022-01-10 11:30:00,128.1875,155.3125
2022-01-10 14:00:00,128.203125,155.40625
2022-01-10 14:30:00,128.234375,155.5
2022-01-10 15:00:00,128.3125,155.6875
2022-01-10 15:30:00,128.28125,155.625
2022-01-10 17:30:00,128.21875,155.53125
2022-01-10 18:00:00,128.3125,155.71875
2022-01-10 18:30:00,128.265625,155.625
2022-01-10 19:00:00,128.3125,155.78125
2022-01-10 19:30:00,128.296875,155.75
2022-01-10 20:00:00,128.28125,155.71875
2022-01-10 20:30:00,128.21875,155.625
2022-01-11 00:00:00,128.234375,155.625
2022-01-11 00:30:00,128.265625,155.71875
2022-01-11 01:00:00,128.28125,155.75
2022-01-11 02:30:00,128.328125,155.8125
2022-01-11 03:00:00,128.4375,156.03125
2022-01-11 03:30:00,128.359375,155.875
2022-01-11 05:00:00,128.265625,155.78125
2022-01-11 05:30:00,128.28125,155.84375
2022-01-11 06:00:00,128.203125,155.75
2022-01-11 07:00:00,128.1875,155.65625
2022-01-11 07:30:00,128.15625,155.53125
2022-01-11 08:00:00,128.109375,155.5
2022-01-11 08:30:00,128.171875,155.6875
2022-01-11 09:00:00,128.109375,155.625
2022-01-11 09:30:00,128.140625,155.46875
2022-01-11 10:30:00,128.21875,155.59375
2022-01-11 11:00:00,128.203125,155.5625
2022-01-11 12:30:00,128.359375,155.75
2022-01-11 13:00:00,128.375,155.84375
2022-01-11 13:30:00,128.40625,155.9375
2022-01-11 14:30:00,128.421875,155.96875
2022-01-11 15:00:00,128.390625,155.9375
2022-01-11 17:00:00,128.421875,155.9375
2022-01-11 17:30:00,128.40625,155.90625
2022-01-11 18:00:00,128.484375,156.0625
2022-01-11 18:30:00,128.4375,155.96875
2022-01-11 19:00:00,128.46875,156.0
2022-01-11 19:30:00,128.453125,155.9375
2022-01-11 22:00:00,128.46875,156.03125
2022-01-11 23:30:00,128.515625,156.09375
2022-01-12 02:00:00,128.4375,156.0
2022-01-12 02:30:00,128.390625,155.96875
2022-01-12 03:00:00,128.359375,155.90625
2022-01-12 03:30:00,128.375,155.9375
2022-01-12 04:00:00,128.34375,155.90625
2022-01-12 04:30:00,128.359375,155.9375
2022-01-12 05:00:00,128.453125,156.0625
2022-01-12 06:00:00,128.390625,155.90625
2022-01-12 06:30:00,128.421875,155.875
2022-01-12 07:00:00,128.515625,156.03125
2022-01-12 07:30:00,128.578125,156.25
2022-01-12 08:00:00,128.640625,156.375
2022-01-12 08:30:00,128.5,156.0
2022-01-12 09:30:00,128.546875,156.0625
2022-01-12 10:00:00,128.46875,155.96875
2022-01-12 10:30:00,128.546875,156.125
2022-01-12 11:00:00,128.578125,156.1875
2022-01-12 11:30:00,128.640625,156.28125
2022-01-12 12:30:00,128.546875,156.09375
2022-01-12 13:30:00,128.59375,156.03125
2022-01-12 14:00:00,128.515625,155.90625
2022-01-12 15:00:00,128.46875,155.8125
2022-01-12 15:30:00,128.375,155.78125
2022-01-12 17:00:00,128.390625,155.84375
2022-01-12 17:30:00,128.359375,155.78125
2022-01-12 18:00:00,128.296875,155.65625
2022-01-12 18:30:00,128.28125,155.59375
2022-01-12 19:30:00,128.390625,155.78125
2022-01-12 20:00:00,128.359375,155.71875
2022-01-12 22:30:00,128.40625,155.78125
2022-01-12 23:00:00,128.4375,155.84375
2022-01-13 00:00:00,128.4375,155.875
2022-01-13 00:30:00,128.421875,155.8125
2022-01-13 02:00:00,128.375,155.65625
2022-01-13 03:30:00,128.359375,155.6875
2022-01-13 04:00:00,128.40625,155.75
2022-01-13 05:00:00,128.375,155.6875
2022-01-13 06:00:00,128.390625,155.8125
2022-01-13 06:30:00,128.4375,155.9375
2022-01-13 07:30:00,128.53125,156.125
2022-01-13 08:00:00,128.5625,156.09375
2022-01-13 08:30:00,128.484375,155.9375
2022-01-13 10:30:00,128.65625,156.25
2022-01-13 12:00:00,128.640625,156.3125
2022-01-13 12:30:00,128.65625,156.375
2022-01-13 13:00:00,128.6875,156.46875
2022-01-13 13:30:00,128.71875,156.53125
2022-01-13 14:00:00,128.796875,156.71875
2022-01-13 15:30:00,128.75,156.59375
2022-01-13 18:00:00,128.640625,156.34375
2022-01-13 18:30:00,128.578125,156.28125
2022-01-13 20:00:00,128.5625,156.21875
2022-01-13 21:00:00,128.609375,156.3125
2022-01-13 22:00:00,128.609375,156.28125
2022-01-13 22:30:00,128.625,156.3125
2022-01-14 00:00:00,128.59375,156.25
2022-01-14 00:30:00,128.609375,156.34375
2022-01-14 01:00:00,128.65625,156.4375
2022-01-14 02:30:00,128.5625,156.125
2022-01-14 03:00:00,128.5,155.96875
2022-01-14 05:00:00,128.421875,155.84375
2022-01-14 06:00:00,128.5,155.90625
2022-01-14 06:30:00,128.578125,156.0625
2022-01-14 07:30:00,128.75,156.5
2022-01-14 08:00:00,128.578125,156.125
2022-01-14 09:30:00,128.40625,155.84375
